"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"CS","488","Intro to Cryptography","2699","Computer Science","7","2","2","2","1","0","0","0","0","0","0","0","0","0","0","1","Chakraborti, Anrin","15"
"CS","491","Seminar","2699","Computer Science","0","28","0","0","3","0","0","0","0","0","0","0","0","0","0","0","Di Eugenio, Barbara","31"
"CS","499","Prof. Development Seminar","2699","Computer Science","0","0","0","0","0","0","0","0","0","0","0","0","0","133","3","1","Bell, John T","137"
"CS","505","Computabil &Complexity Theory","2699","Computer Science","28","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sidiropoulos, Anastasios","29"
"CS","506","Intro to Quantum Computing","2699","Computer Science","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DasGupta, Bhaskar","32"
"CS","514","App Artificial Intelligence","2699","Computer Science","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gmytrasiewicz, Piotr","17"
"CS","515","Advanced Computer Vision","2699","Computer Science","23","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tang, Wei","33"
"CS","520","Causal Inference and Learning","2699","Computer Science","14","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Zheleva, Elena","20"
"CS","522","Human-Computer Interaction","2699","Computer Science","16","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Soni, Nikita Nandish","20"
"CS","529","Visual Data Science","2699","Computer Science","24","4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Marai, Georgeta-Elisabeta","30"
"CS","532","Biomed. and Healthcare NLP","2699","Computer Science","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shweta, FNU","17"
"CS","559","Neural Networks","2949","Electrical & Computer Engr","16","26","6","0","0","0","0","0","0","0","0","0","0","0","0","1","Koyuncu, Erdem","49"
"CS","583","Data Mining & Text Mining","2699","Computer Science","18","9","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Liu, Bing","29"
"CS","584","Advanced Data Mining","2699","Computer Science","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yu, Philip S","19"
"CS","590","Research Methods in CS","2699","Computer Science","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","Di Eugenio, Barbara","27"
"CS","594","Social Robotics","2699","Computer Science","16","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Michaelis, Joseph","23"
"CS","598","MS Thesis Research","2699","Computer Science","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","Di Eugenio, Barbara","19"
"CS","599","PhD Thesis Research","2699","Computer Science","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","Caragea, Cornelia Alexandra","10"
"CS","599","PhD Thesis Research","2699","Computer Science","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","Yu, Philip S","20"
"ECE","115","Intro to Elec & Cmptr Eng","2949","Electrical & Computer Engr","35","26","13","5","7","0","0","0","0","0","0","0","0","0","0","4","Caliskan, Vahe","90"
"ECE","115","Intro to Elec & Cmptr Eng","2949","Electrical & Computer Engr","60","36","19","3","6","0","0","0","0","0","0","0","0","0","0","14","Kosmach, James","138"
"ECE","210","Electric Circuit Analysis","2949","Electrical & Computer Engr","53","80","28","8","2","0","0","0","0","0","0","0","0","0","0","4","Jin, Ning","175"
"ECE","225","Circuit Analysis","2949","Electrical & Computer Engr","16","22","15","9","9","0","0","0","0","0","0","0","0","0","0","11","Caliskan, Vahe","82"
"ECE","265","Intro to Logic Design","2949","Electrical & Computer Engr","20","19","17","11","0","0","0","0","0","0","0","0","0","0","0","0","Goncharoff, Vladimir","67"
"ECE","266","Intro to Embedded Systems","2949","Electrical & Computer Engr","20","24","13","0","1","0","0","0","0","0","0","0","0","0","0","0","Zhang, Zhao","58"
"ECE","294","Special Topics in ECE","2949","Electrical & Computer Engr","8","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Revelo Alonso, Renata Alejandra","11"
"ECE","310","Discrete &Cont Signal&Systms","2949","Electrical & Computer Engr","19","13","18","17","6","0","0","0","0","0","0","0","0","0","0","5","Caliskan, Vahe","78"
"ECE","311","Communication Engineering","2949","Electrical & Computer Engr","20","4","5","2","0","0","0","0","0","0","0","0","0","0","0","0","Smida, Besma","31"
"ECE","317","DSP I","2949","Electrical & Computer Engr","20","18","5","3","0","0","0","0","0","0","0","0","0","0","0","1","Ansari, Rashid","47"
"ECE","322","Intro to Electromag and Appl","2949","Electrical & Computer Engr","21","18","10","0","0","0","0","0","0","0","0","0","0","0","0","1","Vital, Dieff","50"
"ECE","333","Computer Comm Networks I","2949","Electrical & Computer Engr","13","7","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Abu Salah, Lo'Ay Mohammad","22"
"ECE","340","Electronics I","2949","Electrical & Computer Engr","16","12","10","8","3","0","0","0","0","0","0","0","0","0","0","2","Metlushko, Vitali V","51"
"ECE","341","Probabil &Rand Proc for Engr","2949","Electrical & Computer Engr","24","23","16","3","2","0","0","0","0","0","0","0","0","0","0","1","Ohannessian, Mesrob Ichkhan","69"
"ECE","342","Electronics II","2949","Electrical & Computer Engr","10","19","16","2","2","0","0","0","0","0","0","0","0","0","0","0","Metlushko, Vitali V","49"
"ECE","346","Solid State Device Theory","2949","Electrical & Computer Engr","13","16","10","2","0","0","0","0","0","0","0","0","0","0","0","1","Shi, Junxia","42"
"ECE","347","Integrated Circuit Engr","2949","Electrical & Computer Engr","3","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Paprotny, Igor","10"
"ECE","350","Principles of Auto Control","2949","Electrical & Computer Engr","12","6","2","3","1","0","0","0","0","0","0","0","0","0","0","1","Zefran, Milos","25"
"ECE","366","Computer Organization","2949","Electrical & Computer Engr","20","10","5","5","6","0","0","0","0","0","1","0","0","0","0","1","Rao, Wenjing","48"
"ECE","396","Senior Design I","2949","Electrical & Computer Engr","32","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Alonso, Matthew Paul","52"
"ECE","396","Senior Design I","2949","Electrical & Computer Engr","49","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Revelo Alonso, Renata Alejandra","66"
"ECE","410","Advanced Circuit Analysis","2949","Electrical & Computer Engr","17","21","10","6","1","0","0","0","0","0","0","0","0","0","0","1","Goncharoff, Vladimir","56"
"ECE","415","Imag Analysis & Compt Visn I","2949","Electrical & Computer Engr","68","28","5","0","0","0","0","0","1","0","0","0","0","0","0","3","Cetin, Ahmet Enis","105"
"ECE","417","Digital Signal Processing II","2949","Electrical & Computer Engr","8","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Ansari, Rashid","15"
"ECE","421","Intro to Antenna Propagation","2949","Electrical & Computer Engr","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Chen, Pai-Yen","16"
"ECE","432","Digital Communications","2949","Electrical & Computer Engr","8","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Smida, Besma","10"
"ECE","434","Multimedia Systems","2949","Electrical & Computer Engr","8","12","2","1","1","0","0","0","0","0","0","0","0","0","0","0","Schonfeld, Dan","24"
"ECE","440","Nanoelectronics","2949","Electrical & Computer Engr","10","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Dutta, Mitra","13"
"ECE","445","Analysis&Desgn/Power Elec Circ","2949","Electrical & Computer Engr","2","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","Mazumder, Sudip","10"
"ECE","451","Priniciples of Modern Control","2949","Electrical & Computer Engr","19","3","3","0","1","0","0","0","0","0","0","0","0","0","0","1","Jin, Ning","27"
"ECE","458","Electromech Energy Conversn","2949","Electrical & Computer Engr","10","5","3","2","0","0","0","0","0","0","0","0","0","0","0","0","Revelo Alonso, Renata Alejandra","20"
"ECE","465","Digital Systems Design","2949","Electrical & Computer Engr","16","24","9","0","1","0","0","0","0","0","0","0","0","0","0","2","Pal, Debjit","52"
"ECE","466","Computer Architecture","2949","Electrical & Computer Engr","16","15","18","5","4","0","0","0","0","0","0","0","0","0","0","3","Zhu, Zhichun","61"
"ECE","467","Introduc to VLSI Design","2949","Electrical & Computer Engr","18","27","7","2","2","0","0","0","0","0","0","0","0","0","0","0","Trivedi, Amit","56"
"ECE","491","Digital Speech Processing","2949","Electrical & Computer Engr","4","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Cetin, Ahmet Enis","14"
"ECE","499","Prof. Development Seminar","2949","Electrical & Computer Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","44","1","1","Kosmach, James","46"
"ECE","508","Convex Optimization","2949","Electrical & Computer Engr","3","3","4","1","1","0","0","0","0","0","0","0","0","0","0","1","Han, Shuo","13"
"ECE","516","Adaptive Digital Filters","2949","Electrical & Computer Engr","8","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Corey, Ryan Michael","11"
"ECE","526","Electromagnetic Scattering","2949","Electrical & Computer Engr","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Erricolo, Danilo","12"
