"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ENGL","245","Gender, Sexuality and Lit","2492","English","11","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Rupert, Jennifer","16"
"ENGL","245","Gender, Sexuality and Lit","2492","English","6","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Williamson, Michael Paul","11"
"ENGL","247","Women & Lit","2492","English","13","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","O'Connor, Jared James","16"
"ENGL","247","Women & Lit","2492","English","8","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Vaghy, Eniko Mariah","15"
"ENGL","280","Media & Prof Writing","2492","English","10","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Kessler, Jeffrey","20"
"ENGL","280","Media & Prof Writing","2492","English","8","3","2","3","1","0","0","0","0","0","0","0","0","0","0","1","Leick, Karen","18"
"ENGL","280","Media & Prof Writing","2492","English","16","4","3","0","0","0","0","0","0","0","0","0","0","0","0","4","Shearer, Jay B","27"
"ENGL","282","Peer Tutoring in Writing Ctr","2492","English","10","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Aleksa, Vainis","12"
"ENGL","282","Peer Tutoring in Writing Ctr","2492","English","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Guerrero, Antonio","11"
"ENGL","282","Peer Tutoring in Writing Ctr","2492","English","5","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","Seigle, Benjamin C","10"
"ENGL","290","Intro Writ Poetry","2492","English","6","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","Wood, Julia C","10"
"ENGL","290","Intro Writ Poetry","2492","English","11","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Yencich, Joseph Andrew","20"
"ENGL","291","Intro Writing of Fiction","2492","English","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Coleman, Mary Kate Daily Varnau","20"
"ENGL","291","Intro Writing of Fiction","2492","English","19","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Davila, Angelica Julia","20"
"ENGL","291","Intro Writing of Fiction","2492","English","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Grimes, Christopher","12"
"ENGL","292","Intro Writ Nonfiction Prose","2492","English","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Keeley, Marilyn Lauren","16"
"ENGL","380","Adv Professional Writing","2492","English","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Christian, Margena A","16"
"ENGL","380","Adv Professional Writing","2492","English","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hayek, Philip Wesley","10"
"ENGL","382","Editing and Publishing","2492","English","9","4","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Christian, Margena A","17"
"ENGL","384","Technical Writing","2492","English","11","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","Hayek, Philip Wesley","13"
"ENGL","389","Writing for Communy Advocacy","2492","English","16","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","Leick, Karen","18"
"ENGL","430","Topics in CulturalMedia Studie","2492","English","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Forcier, Kaitlin Clifton","10"
"ENGL","480","Intro to Teaching Engl","2492","English","10","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Johnson, Lauren Elizabeth Reine","14"
"ENGL","482","Writing Center Leadership","2492","English","6","3","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Williams, Charitianne","11"
"ENGL","486","Teaching Writing/Mid&Sec Schl","2492","English","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sjostrom, Katharine Sullivan","15"
"ENGL","487","Teaching of Reading & Lit","2492","English","12","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Kindelsperger, Abigail Parker","15"
"ENGL","488","Methods of Teaching English","2492","English","10","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Destigter, Todd D","21"
"ENGL","491","Adv Writing of Fiction","2492","English","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Grimes, Christopher","13"
"ENGL","491","Adv Writing of Fiction","2492","English","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mohanraj, Mary Anne","15"
"ENGL","493","Intern in Nonfic Writing","2492","English","9","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Andrews, Linda Landis","12"
"ENGL","496","Portfolio Practicum","2492","English","12","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","Christian, Margena A","17"
"ENGL","498","Educ Pract w/ Seminar I","2492","English","11","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Sjostrom, Katharine Sullivan","14"
"ENGL","499","Educ Pract w/Seminar II","2492","English","10","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Sjostrom, Katharine Sullivan","14"
"ENGL","500","Master's Proseminar","2492","English","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dubey, Madhu","14"
"ENGL","503","Proseminar","2492","English","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Brown, Nicholas Mainey","12"
"ENGL","557","Language and Literacy","2492","English","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Destigter, Todd D","13"
"ENGL","585","Theoretical Sites","2492","English","9","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Coviello, Peter M","10"
"FIN","311","Intro Real Estate","2525","Economics","16","4","2","2","0","0","0","0","0","0","0","0","0","0","0","1","Baharudin, Azfar Hilmi Bin","25"
"FR","101","Elementary French 1","2943","French and Francophone Studies","7","5","4","1","4","0","0","0","0","0","0","0","0","0","0","2","Joumessi Mboumba, Mireille Solange","23"
"FR","101","Elementary French 1","2943","French and Francophone Studies","18","15","5","4","1","0","0","0","0","0","0","0","0","0","0","1","Lapotre, Carly A","44"
"FR","101","Elementary French 1","2943","French and Francophone Studies","12","4","1","1","0","0","0","0","0","0","0","0","0","0","0","2","Lassissi, Toyibou Adjassa","20"
"FR","101","Elementary French 1","2943","French and Francophone Studies","13","5","3","0","1","0","0","0","0","0","0","0","0","0","0","2","Tidjani, Saenab","24"
"FR","102","Elementary French II","2943","French and Francophone Studies","17","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Chidlow, Angela","24"
"FR","102","Elementary French II","2943","French and Francophone Studies","15","12","3","3","1","0","0","0","0","0","0","0","0","0","0","3","Okoye, Cynthia Ijeoma","37"
